CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
VAEE81904G,121170310,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
VAEE81904G,121170735,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
VAEE82001L,120760213,True,False,False,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2
VAEE82002N,121140215,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4
VAEE82003P,120450708,True,False,False,False,False,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VAEE82102D,120920236,True,False,False,False,True,True,False,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.8
VAEE82103E,121420240,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
VAEE82104G,120920237,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
VAEE82105L,120920238,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VAEE82106N,120920239,True,False,False,True,False,True,False,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
VAEE82107P,120650389,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VAEE822018,120970225,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,4.0
VAEE822029,120270223,True,False,False,True,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
