NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
DANTE ALIGHIERI,VENEZIA,VEMM839013,S.MARCO 3042,45.43482885,12.334024740406198,http://www.alighierivenezia.it,SCUOLA PRIMO GRADO,VEIC839002,30124
I.C. LEONARDO DA VINCI,VENEZIA,VEEE87303N,VIA VIRGILIO ,45.4959117,12.2626993,http://www.icleonardodavincivenezia.gov.it,SCUOLA PRIMARIA,VEIC87300D,30173
VENDRAMIN CORNER,VENEZIA,VETF008013,SAN POLO 2360,45.43794695,12.3293276266571,http://www.ptpvenezia.gov.it,ISTITUTO TECNICO INDUSTRIALE,VEIS00800E,30125
LUIGI LUZZATTI,VENEZIA,VETD00401D,VIA PERLA,45.8095906,8.803722800000001,http://www.iisluzzatti.it,ISTITUTO TECNICO COMMERCIALE,VEIS004007,30174
LUIGI LUZZATTI,VENEZIA,VERC00451G,VIA PERLA,45.8095906,8.803722800000001,http://www.iisluzzatti.it,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI,VEIS004007,30174
LUIGI LUZZATTI,VENEZIA,VEIS004007,VIA PERLAN ,45.4919594,12.212009599999998,,ISTITUTO SUPERIORE,VEIS004007,30174
ANTONIO PACINOTTI,VENEZIA,VETF01901D,VIA CANEVE ,45.4959162,12.2473712,http://www.iispacinottive.it,ISTITUTO TECNICO INDUSTRIALE,VEIS019001,30173
I.C. U. FOSCOLO MURANO-BURANO,VENEZIA,VEIC81400N,FONDAMENTA RADI ,27.362650300000002,91.72547309999999,,ISTITUTO COMPRENSIVO,VEIC81400N,30141
"I.C. ""FRANCA ONGARO""",VENEZIA,VEEE84003A,RIVIERA SAN NICOLO' 21,45.429041600000005,12.3818924,http://www.scuolevenezialido.net,SCUOLA PRIMARIA,VEIC840006,30126
LUIGI LUZZATTI,VENEZIA,VERI00401V,VIA ASSEGGIANO 4,45.4998435,12.168794,http://www.luzzattigramsci.it,IST PROF INDUSTRIA E ARTIGIANATO,VEIS004007,30174
ANTONIO PACINOTTI,VENEZIA,VETF01951V,VIA CANEVE 93,45.4959686,12.247501199999999,http://www.iispacinottive.it,ISTITUTO TECNICO INDUSTRIALE,VEIS019001,30173
LUIGI LUZZATTI,VENEZIA,VERC004016,VIA PERLA,45.8095906,8.803722800000001,http://www.iisluzzatti.it,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI,VEIS004007,30174
ANTONIO PACINOTTI,VENEZIA,VETL01901N,VIA CANEVE 93,45.4959686,12.247501199999999,http://www.iispacinottive.it,ISTITUTO TECNICO PER GEOMETRI,VEIS019001,30173
I.C. C.BASEGGIO,VENEZIA,VEEE871043,VIA ORTOLA,44.043992700000004,10.1374329,http://www.icbaseggio.gov.it,SCUOLA PRIMARIA,VEIC87100T,30175
"I.C. ""FRANCA ONGARO""",VENEZIA,VEIC840006,VIA SANDRO GALLO ,45.39598170000001,12.3567711,,ISTITUTO COMPRENSIVO,VEIC840006,30126
ANTONIO PACINOTTI,VENEZIA,VEIS019001,VIA CANEVE ,45.4959162,12.2473712,http://www.itisdavinci.it,ISTITUTO SUPERIORE,VEIS019001,30173
I.C. F. GRIMANI,VENEZIA,VEAA87001V,PIAZZALE SIRTORI ,45.736579,9.330845,http://www.icgrimani.gov.it,SCUOLA INFANZIA,VEIC870002,30175
""" ANDREA GRITTI """,VENEZIA,VEIS018005,VIA LUDOVICO ANTONIO MURATORI 7,45.48890170000001,12.2656219,http://www.itisdavinci.it,ISTITUTO SUPERIORE,VEIS018005,30173
I.C. LEONARDO DA VINCI,VENEZIA,VEMM87301E,VIA TEVERE 93,45.4975825,12.2571153,http://www.icleonardodavincivenezia.gov.it,SCUOLA PRIMO GRADO,VEIC87300D,30173
I.C. LEONARDO DA VINCI,VENEZIA,VEAA87302B,VIA BUOZZI ,42.764916299999996,11.1136781,http://www.icleonardodavincivenezia.gov.it,SCUOLA INFANZIA,VEIC87300D,30174
